TestTime(mS)	ImageTime	
0	-213
100	-6
200	-6
300	-6
400	191
500	396
600	396
700	396
800	591
900	800
1000	800
1100	800
1200	986
1300	986
1400	1196
1500	1196
1600	1391
1700	1596
1800	1596
1900	1596
2000	1787
2100	1996
2200	1996
2300	1996
2400	2186
2500	2395
2600	2395
2700	2395
2800	2586
2900	2794
3000	2794
3100	2794
3200	2986
3300	3196
3400	3196
3500	3196
3600	3386
3700	3595
3800	3595
3900	3595
4000	3786
4100	3997
4200	3997
4300	3997
4400	4187
4500	4394
4600	4394
4700	4394
4800	4586
4900	4586
5000	4800
5100	4800
5200	4996
5300	5198
5400	5198
5500	5198
5600	5399
5700	5399
5800	5399
5900	5399
6000	5399
6100	5604
6200	5604
6300	6197
6400	6197
6500	6404
6600	6404
6700	6593
6800	6593
6900	6797
7000	6797
7100	6992
7200	6992
7300	6992
7400	7197
7500	7393
7600	7393
7700	7393
7800	7600
7900	7600
8000	7795
8100	7795
8200	8004
8300	8202
8400	8202
8500	8202
8600	8405
8700	8405
8800	8598
8900	8598
9000	8799
9100	8799
9200	8992
9300	8992
9400	9200
9500	9200
9600	9390
9700	9390
9800	9604
9900	9799
10000	9799
10100	9999
10200	9999
10300	10194
10400	10194
10500	10398
10600	10398
10700	10398
10800	10590
10900	10590
11000	10800
11100	10800
11200	10992
11300	11196
11400	11196
11500	11401
11600	11401
11700	11601
11800	11601
11900	11793
12000	11793
12100	11793
12200	11998
12300	11998
12400	12191
12500	12191
12600	12400
12700	12400
12800	12592
12900	12592
13000	12801
13100	12801
13200	12801
13300	12997
13400	12997
13500	13387
13600	13387
13700	13387
13800	13600
13900	13600
14000	13792
14100	13792
14200	13997
14300	14197
14400	14197
14500	14399
14600	14399
14700	14399
14800	14589
14900	14799
15000	14799
15100	14799
15200	14989
15300	14989
15400	15195
15500	15195
15600	15395
15700	15608
15800	15608
15900	15608
16000	15608
16100	15608
16200	15791
16300	15791
16400	16198
16500	16198
16600	16198
16700	16198
16800	16401
16900	16401
17000	16807
17100	16807
17200	16993
17300	17198
17400	17198
17500	17198
17600	17393
17700	17598
17800	17598
17900	17598
18000	17790
18100	17790
18200	18005
18300	18005
18400	18194
18500	18194
18600	18406
18700	18406
18800	18599
18900	18599
19000	18799
19100	18799
19200	18996
19300	19203
19400	19203
19500	19390
19600	19390
19700	19390
19800	19601
19900	19601
20000	19601
