SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide100stretch,1-Stretch,0.000,70.015,0,0.133
lightguide100stretch,1-Hold,0.100,70.351,0.336,0.133
lightguide100stretch,2-Stretch,0.200,70.369,0.354,0.077
lightguide100stretch,2-Hold,0.300,70.702,0.687,0.133
lightguide100stretch,3-Stretch,0.400,70.72,0.705,0.244
lightguide100stretch,3-Hold,0.500,71.053,1.038,0.189
lightguide100stretch,4-Stretch,0.600,71.071,1.056,0.244
lightguide100stretch,4-Hold,0.700,71.404,1.389,0.244
lightguide100stretch,5-Stretch,0.800,71.423,1.408,0.244
lightguide100stretch,5-Hold,0.900,71.755,1.74,0.300
lightguide100stretch,6-Stretch,1.000,71.774,1.759,0.356
lightguide100stretch,6-Hold,1.100,72.106,2.091,0.300
lightguide100stretch,7-Stretch,1.200,72.125,2.11,0.300
lightguide100stretch,7-Hold,1.300,72.457,2.442,0.356
lightguide100stretch,8-Stretch,1.400,72.476,2.461,0.467
lightguide100stretch,8-Hold,1.500,72.809,2.794,0.356
lightguide100stretch,9-Stretch,1.600,72.827,2.812,0.467
lightguide100stretch,9-Hold,1.700,73.16,3.145,0.411
lightguide100stretch,10-Stretch,1.800,73.178,3.163,0.411
lightguide100stretch,10-Hold,1.900,73.511,3.496,0.467
lightguide100stretch,11-Stretch,2.000,73.529,3.514,0.467
lightguide100stretch,11-Hold,2.100,73.862,3.847,0.467
lightguide100stretch,12-Stretch,2.200,73.88,3.865,0.523
lightguide100stretch,12-Hold,2.300,74.213,4.198,0.467
lightguide100stretch,13-Stretch,2.400,74.232,4.217,0.578
lightguide100stretch,13-Hold,2.500,74.564,4.549,0.578
lightguide100stretch,14-Stretch,2.600,74.583,4.568,0.578
lightguide100stretch,14-Hold,2.700,74.915,4.9,0.578
lightguide100stretch,15-Stretch,2.800,74.934,4.919,0.578
lightguide100stretch,15-Hold,2.900,75.266,5.251,0.578
lightguide100stretch,16-Stretch,3.000,75.285,5.27,0.690
lightguide100stretch,16-Hold,3.100,75.618,5.603,0.634
lightguide100stretch,17-Stretch,3.200,75.636,5.621,0.634
lightguide100stretch,17-Hold,3.300,75.969,5.954,0.634
lightguide100stretch,18-Stretch,3.400,75.987,5.972,0.634
lightguide100stretch,18-Hold,3.500,76.32,6.305,0.634
lightguide100stretch,19-Stretch,3.600,76.338,6.323,0.745
lightguide100stretch,19-Hold,3.700,76.671,6.656,0.745
lightguide100stretch,20-Stretch,3.800,76.689,6.674,0.690
lightguide100stretch,20-Hold,3.900,77.022,7.007,0.745
lightguide100stretch,21-Stretch,4.000,77.04,7.025,0.801
lightguide100stretch,21-Hold,4.100,77.373,7.358,0.690
lightguide100stretch,22-Stretch,4.200,77.392,7.377,0.857
lightguide100stretch,22-Hold,4.300,77.724,7.709,0.801
lightguide100stretch,23-Stretch,4.400,77.743,7.728,0.745
lightguide100stretch,23-Hold,4.500,78.075,8.06,0.801
lightguide100stretch,24-Stretch,4.600,78.094,8.079,0.912
lightguide100stretch,24-Hold,4.700,78.426,8.411,0.801
lightguide100stretch,25-Stretch,4.800,78.445,8.43,0.857
lightguide100stretch,25-Hold,4.900,78.778,8.763,0.857
lightguide100stretch,26-Stretch,5.000,78.796,8.781,0.801
lightguide100stretch,26-Hold,5.100,79.129,9.114,0.912
lightguide100stretch,27-Stretch,5.200,79.147,9.132,0.912
lightguide100stretch,27-Hold,5.300,79.48,9.465,0.857
lightguide100stretch,28-Stretch,5.400,79.498,9.483,0.912
lightguide100stretch,28-Hold,5.500,79.831,9.816,0.912
lightguide100stretch,29-Stretch,5.600,79.849,9.834,0.912
lightguide100stretch,29-Hold,5.700,80.182,10.167,0.912
lightguide100stretch,30-Stretch,5.800,80.201,10.186,1.024
lightguide100stretch,30-Hold,5.900,80.533,10.518,0.912
