Set,SetName,Cycle,Phase,StartTime(s),DataTime(s),Repeat
1,lightguide100stretch,1,Preload,0,0,1
1,lightguide100stretch,1,Stretch,0,0.01,1
1,lightguide100stretch,1,Hold,0,0.1,1
1,lightguide100stretch,1,Recover,0,0.2,1
1,lightguide100stretch,2,Stretch,0,0.21,1
1,lightguide100stretch,2,Hold,0,0.3,1
1,lightguide100stretch,2,Recover,0,0.4,1
1,lightguide100stretch,3,Stretch,0,0.41,1
1,lightguide100stretch,3,Hold,0,0.5,1
1,lightguide100stretch,3,Recover,0,0.6,1
1,lightguide100stretch,4,Stretch,0,0.61,1
1,lightguide100stretch,4,Hold,0,0.7,1
1,lightguide100stretch,4,Recover,0,0.8,1
1,lightguide100stretch,5,Stretch,0,0.81,1
1,lightguide100stretch,5,Hold,0,0.9,1
1,lightguide100stretch,5,Recover,1,1,1
1,lightguide100stretch,6,Stretch,1,1.01,1
1,lightguide100stretch,6,Hold,1,1.1,1
1,lightguide100stretch,6,Recover,1,1.2,1
1,lightguide100stretch,7,Stretch,1,1.21,1
1,lightguide100stretch,7,Hold,1,1.3,1
1,lightguide100stretch,7,Recover,1,1.4,1
1,lightguide100stretch,8,Stretch,1,1.41,1
1,lightguide100stretch,8,Hold,1,1.5,1
1,lightguide100stretch,8,Recover,1,1.6,1
1,lightguide100stretch,9,Stretch,1,1.61,1
1,lightguide100stretch,9,Hold,1,1.7,1
1,lightguide100stretch,9,Recover,1,1.8,1
1,lightguide100stretch,10,Stretch,1,1.81,1
1,lightguide100stretch,10,Hold,1,1.9,1
1,lightguide100stretch,10,Recover,2,2,1
1,lightguide100stretch,11,Stretch,2,2.01,1
1,lightguide100stretch,11,Hold,2,2.1,1
1,lightguide100stretch,11,Recover,2,2.2,1
1,lightguide100stretch,12,Stretch,2,2.21,1
1,lightguide100stretch,12,Hold,2,2.3,1
1,lightguide100stretch,12,Recover,2,2.4,1
1,lightguide100stretch,13,Stretch,2,2.41,1
1,lightguide100stretch,13,Hold,2,2.5,1
1,lightguide100stretch,13,Recover,2,2.6,1
1,lightguide100stretch,14,Stretch,2,2.61,1
1,lightguide100stretch,14,Hold,2,2.7,1
1,lightguide100stretch,14,Recover,2,2.8,1
1,lightguide100stretch,15,Stretch,2,2.81,1
1,lightguide100stretch,15,Hold,2,2.9,1
1,lightguide100stretch,15,Recover,3,3,1
1,lightguide100stretch,16,Stretch,3,3.01,1
1,lightguide100stretch,16,Hold,3,3.1,1
1,lightguide100stretch,16,Recover,3,3.2,1
1,lightguide100stretch,17,Stretch,3,3.21,1
1,lightguide100stretch,17,Hold,3,3.3,1
1,lightguide100stretch,17,Recover,3,3.4,1
1,lightguide100stretch,18,Stretch,3,3.41,1
1,lightguide100stretch,18,Hold,3,3.5,1
1,lightguide100stretch,18,Recover,3,3.6,1
1,lightguide100stretch,19,Stretch,3,3.61,1
1,lightguide100stretch,19,Hold,3,3.7,1
1,lightguide100stretch,19,Recover,3,3.8,1
1,lightguide100stretch,20,Stretch,3,3.81,1
1,lightguide100stretch,20,Hold,3,3.9,1
1,lightguide100stretch,20,Recover,4,4,1
1,lightguide100stretch,21,Stretch,4,4.01,1
1,lightguide100stretch,21,Hold,4,4.1,1
1,lightguide100stretch,21,Recover,4,4.2,1
1,lightguide100stretch,22,Stretch,4,4.21,1
1,lightguide100stretch,22,Hold,4,4.3,1
1,lightguide100stretch,22,Recover,4,4.4,1
1,lightguide100stretch,23,Stretch,4,4.41,1
1,lightguide100stretch,23,Hold,4,4.5,1
1,lightguide100stretch,23,Recover,4,4.6,1
1,lightguide100stretch,24,Stretch,4,4.61,1
1,lightguide100stretch,24,Hold,4,4.7,1
1,lightguide100stretch,24,Recover,4,4.8,1
1,lightguide100stretch,25,Stretch,4,4.81,1
1,lightguide100stretch,25,Hold,4,4.9,1
1,lightguide100stretch,25,Recover,5,5,1
1,lightguide100stretch,26,Stretch,5,5.01,1
1,lightguide100stretch,26,Hold,5,5.1,1
1,lightguide100stretch,26,Recover,5,5.2,1
1,lightguide100stretch,27,Stretch,5,5.21,1
1,lightguide100stretch,27,Hold,5,5.3,1
1,lightguide100stretch,27,Recover,5,5.4,1
1,lightguide100stretch,28,Stretch,5,5.41,1
1,lightguide100stretch,28,Hold,5,5.5,1
1,lightguide100stretch,28,Recover,5,5.6,1
1,lightguide100stretch,29,Stretch,5,5.61,1
1,lightguide100stretch,29,Hold,5,5.7,1
1,lightguide100stretch,29,Recover,5,5.8,1
1,lightguide100stretch,30,Stretch,5,5.81,1
1,lightguide100stretch,30,Hold,5,5.9,1
1,lightguide100stretch,30,Recover,6,6,1
1,lightguide100stretch,31,Stretch,6,6.01,1
1,lightguide100stretch,31,Hold,6,6.1,1
1,lightguide100stretch,31,Recover,6,6.2,1
1,lightguide100stretch,32,Stretch,6,6.21,1
1,lightguide100stretch,32,Hold,6,6.3,1
1,lightguide100stretch,32,Recover,6,6.4,1
1,lightguide100stretch,33,Stretch,6,6.41,1
1,lightguide100stretch,33,Hold,6,6.5,1
1,lightguide100stretch,33,Recover,6,6.6,1
1,lightguide100stretch,34,Stretch,6,6.61,1
1,lightguide100stretch,34,Hold,6,6.7,1
1,lightguide100stretch,34,Recover,6,6.8,1
1,lightguide100stretch,35,Stretch,6,6.81,1
1,lightguide100stretch,35,Hold,6,6.9,1
1,lightguide100stretch,35,Recover,7,7,1
1,lightguide100stretch,36,Stretch,7,7.01,1
1,lightguide100stretch,36,Hold,7,7.1,1
1,lightguide100stretch,36,Recover,7,7.2,1
1,lightguide100stretch,37,Stretch,7,7.21,1
1,lightguide100stretch,37,Hold,7,7.3,1
1,lightguide100stretch,37,Recover,7,7.4,1
1,lightguide100stretch,38,Stretch,7,7.41,1
1,lightguide100stretch,38,Hold,7,7.5,1
1,lightguide100stretch,38,Recover,7,7.6,1
1,lightguide100stretch,39,Stretch,7,7.61,1
1,lightguide100stretch,39,Hold,7,7.7,1
1,lightguide100stretch,39,Recover,7,7.8,1
1,lightguide100stretch,40,Stretch,7,7.81,1
1,lightguide100stretch,40,Hold,7,7.9,1
1,lightguide100stretch,40,Recover,8,8,1
1,lightguide100stretch,41,Stretch,8,8.01,1
1,lightguide100stretch,41,Hold,8,8.1,1
1,lightguide100stretch,41,Recover,8,8.2,1
1,lightguide100stretch,42,Stretch,8,8.21,1
1,lightguide100stretch,42,Hold,8,8.3,1
1,lightguide100stretch,42,Recover,8,8.4,1
1,lightguide100stretch,43,Stretch,8,8.41,1
1,lightguide100stretch,43,Hold,8,8.5,1
1,lightguide100stretch,43,Recover,8,8.6,1
1,lightguide100stretch,44,Stretch,8,8.61,1
1,lightguide100stretch,44,Hold,8,8.7,1
1,lightguide100stretch,44,Recover,8,8.8,1
1,lightguide100stretch,45,Stretch,8,8.81,1
1,lightguide100stretch,45,Hold,8,8.9,1
1,lightguide100stretch,45,Recover,9,9,1
1,lightguide100stretch,46,Stretch,9,9.01,1
1,lightguide100stretch,46,Hold,9,9.1,1
1,lightguide100stretch,46,Recover,9,9.2,1
1,lightguide100stretch,47,Stretch,9,9.21,1
1,lightguide100stretch,47,Hold,9,9.3,1
1,lightguide100stretch,47,Recover,9,9.4,1
1,lightguide100stretch,48,Stretch,9,9.41,1
1,lightguide100stretch,48,Hold,9,9.5,1
1,lightguide100stretch,48,Recover,9,9.6,1
1,lightguide100stretch,49,Stretch,9,9.61,1
1,lightguide100stretch,49,Hold,9,9.7,1
1,lightguide100stretch,49,Recover,9,9.8,1
1,lightguide100stretch,50,Stretch,9,9.81,1
1,lightguide100stretch,50,Hold,9,9.9,1
1,lightguide100stretch,50,Recover,10,10,1
1,lightguide100stretch,51,Stretch,10,10.01,1
1,lightguide100stretch,51,Hold,10,10.1,1
1,lightguide100stretch,51,Recover,10,10.2,1
1,lightguide100stretch,52,Stretch,10,10.21,1
1,lightguide100stretch,52,Hold,10,10.3,1
1,lightguide100stretch,52,Recover,10,10.4,1
1,lightguide100stretch,53,Stretch,10,10.41,1
