SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide200stretch,1-Stretch,0.000,98.002,0,-1.877
lightguide200stretch,1-Stretch,0.200,98.042,0.04,-1.766
lightguide200stretch,1-Stretch,0.400,98.081,0.079,-1.933
lightguide200stretch,1-Hold,0.490,98.097,0.095,-1.766
lightguide200stretch,1-Hold,0.690,98.097,0.095,-1.821
lightguide200stretch,1-Hold,0.890,98.097,0.095,-1.821
lightguide200stretch,1-Recover,0.990,98.097,0.095,-1.821
lightguide200stretch,2-Stretch,1.000,98.1,0.098,-1.933
lightguide200stretch,2-Stretch,1.200,98.139,0.137,-1.766
lightguide200stretch,2-Stretch,1.400,98.179,0.177,-1.821
lightguide200stretch,2-Hold,1.490,98.195,0.193,-1.766
lightguide200stretch,2-Hold,1.690,98.195,0.193,-1.766
lightguide200stretch,2-Hold,1.890,98.195,0.193,-1.821
lightguide200stretch,2-Recover,1.990,98.195,0.193,-1.766
lightguide200stretch,3-Stretch,2.000,98.197,0.195,-1.877
lightguide200stretch,3-Stretch,2.200,98.237,0.235,-1.766
lightguide200stretch,3-Stretch,2.400,98.277,0.275,-1.766
lightguide200stretch,3-Hold,2.490,98.292,0.29,-1.821
lightguide200stretch,3-Hold,2.690,98.292,0.29,-1.766
lightguide200stretch,3-Hold,2.890,98.292,0.29,-1.766
lightguide200stretch,3-Recover,2.990,98.292,0.29,-1.766
lightguide200stretch,4-Stretch,3.000,98.295,0.293,-1.821
lightguide200stretch,4-Stretch,3.200,98.335,0.333,-1.766
lightguide200stretch,4-Stretch,3.400,98.374,0.372,-1.821
lightguide200stretch,4-Hold,3.490,98.39,0.388,-1.710
lightguide200stretch,4-Hold,3.690,98.39,0.388,-1.766
lightguide200stretch,4-Hold,3.890,98.39,0.388,-1.710
lightguide200stretch,4-Recover,3.990,98.39,0.388,-1.766
lightguide200stretch,5-Stretch,4.000,98.393,0.391,-1.933
lightguide200stretch,5-Stretch,4.200,98.432,0.43,-1.710
lightguide200stretch,5-Stretch,4.400,98.472,0.47,-1.766
lightguide200stretch,5-Hold,4.490,98.488,0.486,-1.710
lightguide200stretch,5-Hold,4.690,98.488,0.486,-1.710
lightguide200stretch,5-Hold,4.890,98.488,0.486,-1.766
lightguide200stretch,5-Recover,4.990,98.488,0.486,-1.710
lightguide200stretch,6-Stretch,5.000,98.49,0.488,-1.821
lightguide200stretch,6-Stretch,5.200,98.53,0.528,-1.766
lightguide200stretch,6-Stretch,5.400,98.57,0.568,-1.710
lightguide200stretch,6-Hold,5.490,98.586,0.584,-1.766
lightguide200stretch,6-Hold,5.690,98.586,0.584,-1.710
lightguide200stretch,6-Hold,5.890,98.586,0.584,-1.710
lightguide200stretch,6-Recover,5.990,98.586,0.584,-1.710
lightguide200stretch,7-Stretch,6.000,98.588,0.586,-1.766
lightguide200stretch,7-Stretch,6.200,98.628,0.626,-1.654
lightguide200stretch,7-Stretch,6.400,98.67,0.668,-1.710
lightguide200stretch,7-Hold,6.490,98.683,0.681,-1.710
lightguide200stretch,7-Hold,6.690,98.683,0.681,-1.710
lightguide200stretch,7-Hold,6.890,98.683,0.681,-1.710
lightguide200stretch,7-Recover,6.990,98.683,0.681,-1.766
lightguide200stretch,8-Stretch,7.000,98.686,0.684,-1.821
lightguide200stretch,8-Stretch,7.200,98.725,0.723,-1.654
lightguide200stretch,8-Stretch,7.400,98.765,0.763,-1.654
lightguide200stretch,8-Hold,7.490,98.781,0.779,-1.710
lightguide200stretch,8-Hold,7.690,98.781,0.779,-1.710
lightguide200stretch,8-Hold,7.890,98.781,0.779,-1.710
lightguide200stretch,8-Recover,7.990,98.781,0.779,-1.710
lightguide200stretch,9-Stretch,8.000,98.784,0.782,-1.766
lightguide200stretch,9-Stretch,8.200,98.823,0.821,-1.710
lightguide200stretch,9-Stretch,8.400,98.865,0.863,-1.654
lightguide200stretch,9-Hold,8.490,98.879,0.877,-1.710
lightguide200stretch,9-Hold,8.690,98.879,0.877,-1.654
lightguide200stretch,9-Hold,8.890,98.879,0.877,-1.710
lightguide200stretch,9-Recover,8.990,98.879,0.877,-1.654
lightguide200stretch,10-Stretch,9.000,98.881,0.879,-1.766
lightguide200stretch,10-Stretch,9.200,98.921,0.919,-1.654
lightguide200stretch,10-Stretch,9.400,98.96,0.958,-1.766
lightguide200stretch,10-Hold,9.490,98.976,0.974,-1.710
lightguide200stretch,10-Hold,9.690,98.976,0.974,-1.710
lightguide200stretch,10-Hold,9.890,98.976,0.974,-1.654
lightguide200stretch,10-Recover,9.990,98.976,0.974,-1.599
lightguide200stretch,11-Stretch,10.000,98.979,0.977,-1.988
lightguide200stretch,11-Stretch,10.200,99.018,1.016,-1.599
lightguide200stretch,11-Stretch,10.400,99.058,1.056,-1.654
lightguide200stretch,11-Hold,10.490,99.074,1.072,-1.654
lightguide200stretch,11-Hold,10.690,99.074,1.072,-1.654
lightguide200stretch,11-Hold,10.890,99.074,1.072,-1.710
lightguide200stretch,11-Recover,10.990,99.074,1.072,-1.654
lightguide200stretch,12-Stretch,11.000,99.077,1.075,-1.710
lightguide200stretch,12-Stretch,11.200,99.116,1.114,-1.710
lightguide200stretch,12-Stretch,11.400,99.158,1.156,-1.599
lightguide200stretch,12-Hold,11.490,99.172,1.17,-1.654
lightguide200stretch,12-Hold,11.690,99.172,1.17,-1.599
lightguide200stretch,12-Hold,11.890,99.172,1.17,-1.654
lightguide200stretch,12-Recover,11.990,99.172,1.17,-1.654
lightguide200stretch,13-Stretch,12.000,99.174,1.172,-1.654
lightguide200stretch,13-Stretch,12.200,99.214,1.212,-1.654
lightguide200stretch,13-Stretch,12.400,99.253,1.251,-1.710
lightguide200stretch,13-Hold,12.490,99.269,1.267,-1.654
lightguide200stretch,13-Hold,12.690,99.269,1.267,-1.654
lightguide200stretch,13-Hold,12.890,99.269,1.267,-1.599
lightguide200stretch,13-Recover,12.990,99.269,1.267,-1.654
lightguide200stretch,14-Stretch,13.000,99.272,1.27,-1.710
lightguide200stretch,14-Stretch,13.200,99.312,1.31,-1.599
lightguide200stretch,14-Stretch,13.400,99.354,1.352,-1.599
lightguide200stretch,14-Hold,13.490,99.367,1.365,-1.599
lightguide200stretch,14-Hold,13.690,99.367,1.365,-1.654
lightguide200stretch,14-Hold,13.890,99.367,1.365,-1.654
lightguide200stretch,14-Recover,13.990,99.367,1.365,-1.654
lightguide200stretch,15-Stretch,14.000,99.37,1.368,-1.654
lightguide200stretch,15-Stretch,14.200,99.409,1.407,-1.599
lightguide200stretch,15-Stretch,14.400,99.449,1.447,-1.599
lightguide200stretch,15-Hold,14.490,99.465,1.463,-1.599
lightguide200stretch,15-Hold,14.690,99.465,1.463,-1.599
lightguide200stretch,15-Hold,14.890,99.465,1.463,-1.654
lightguide200stretch,15-Recover,14.990,99.465,1.463,-1.599
lightguide200stretch,16-Stretch,15.000,99.467,1.465,-1.654
lightguide200stretch,16-Stretch,15.200,99.507,1.505,-1.543
lightguide200stretch,16-Stretch,15.400,99.546,1.544,-1.654
lightguide200stretch,16-Hold,15.490,99.562,1.56,-1.654
lightguide200stretch,16-Hold,15.690,99.562,1.56,-1.599
lightguide200stretch,16-Hold,15.890,99.562,1.56,-1.543
lightguide200stretch,16-Recover,15.990,99.562,1.56,-1.543
lightguide200stretch,17-Stretch,16.000,99.565,1.563,-1.710
lightguide200stretch,17-Stretch,16.200,99.605,1.603,-1.543
lightguide200stretch,17-Stretch,16.400,99.644,1.642,-1.654
lightguide200stretch,17-Hold,16.490,99.66,1.658,-1.543
lightguide200stretch,17-Hold,16.690,99.66,1.658,-1.599
lightguide200stretch,17-Hold,16.890,99.66,1.658,-1.599
lightguide200stretch,17-Recover,16.990,99.66,1.658,-1.599
lightguide200stretch,18-Stretch,17.000,99.663,1.661,-1.710
lightguide200stretch,18-Stretch,17.200,99.702,1.7,-1.543
lightguide200stretch,18-Stretch,17.400,99.742,1.74,-1.599
lightguide200stretch,18-Hold,17.490,99.758,1.756,-1.543
lightguide200stretch,18-Hold,17.690,99.758,1.756,-1.543
lightguide200stretch,18-Hold,17.890,99.758,1.756,-1.599
lightguide200stretch,18-Recover,17.990,99.758,1.756,-1.543
lightguide200stretch,19-Stretch,18.000,99.76,1.758,-1.654
lightguide200stretch,19-Stretch,18.200,99.8,1.798,-1.543
lightguide200stretch,19-Stretch,18.400,99.842,1.84,-1.543
lightguide200stretch,19-Hold,18.490,99.855,1.853,-1.599
lightguide200stretch,19-Hold,18.690,99.855,1.853,-1.543
lightguide200stretch,19-Hold,18.890,99.855,1.853,-1.543
lightguide200stretch,19-Recover,18.990,99.855,1.853,-1.543
lightguide200stretch,20-Stretch,19.000,99.858,1.856,-1.543
lightguide200stretch,20-Stretch,19.200,99.898,1.896,-1.543
lightguide200stretch,20-Stretch,19.400,99.937,1.935,-1.599
lightguide200stretch,20-Hold,19.490,99.953,1.951,-1.543
lightguide200stretch,20-Hold,19.690,99.953,1.951,-1.599
lightguide200stretch,20-Hold,19.890,99.953,1.951,-1.543
lightguide200stretch,20-Recover,19.990,99.953,1.951,-1.599
lightguide200stretch,21-Stretch,20.000,99.956,1.954,-1.599
lightguide200stretch,21-Stretch,20.200,99.995,1.993,-1.487
lightguide200stretch,21-Stretch,20.400,100.035,2.033,-1.543
lightguide200stretch,21-Hold,20.490,100.051,2.049,-1.543
lightguide200stretch,21-Hold,20.690,100.051,2.049,-1.543
lightguide200stretch,21-Hold,20.890,100.051,2.049,-1.543
lightguide200stretch,21-Recover,20.990,100.051,2.049,-1.487
lightguide200stretch,22-Stretch,21.000,100.053,2.051,-1.599
lightguide200stretch,22-Stretch,21.200,100.093,2.091,-1.543
lightguide200stretch,22-Stretch,21.400,100.133,2.131,-1.487
lightguide200stretch,22-Hold,21.490,100.148,2.146,-1.543
lightguide200stretch,22-Hold,21.690,100.148,2.146,-1.543
